coverage_id,coverage_type_c,coverage_status_c,carrier_id,payor_id,plan_id,plan_grp_id,subscr_num,acct_id,subscr_name,cobra_status_yn,cobra_date,late_enroll_yn,student_review_dt,employment_date,application_date,pb_acct_id,subscr_birthdate,subscr_sex_c,subscr_addr1,subscr_addr2,subscr_city,subscr_state_c,subscr_country_c,subscr_zip,subscr_phone,subscriber_fax,subscr_work_phone,cvg_eff_dt,cvg_term_dt,subscr_county_c,casehead_number,casehead_name,dt_last_pro_rated,tnsfrd_coverage_id,update_date,subsc_race_c,sub_marital_sts_c,is_sub_us_citzn_yn,cvg_reg_status_c,last_date_verified,next_review_date,verify_user_id,verify_source_c,subscr_employer_id,group_name,cvg_addr1,cvg_addr2,cvg_city,state_c,cvg_zip,cvg_phone1,subscr_ssn,subscr_eep_addr_1,subscr_eep_addr_2,subscr_eep_city,subscr_eep_ste_c,subscr_eep_zip,subscr_eep_phone,subscr_emp_stat_c,group_num,claim_mail_code_c,cm_phy_owner_id,cm_log_owner_id,web_apn_id,wc_employer_id,wc_date_of_injury,is_sig_on_file_yn,enroll_reason_c,cvg_term_reason_c,subscr_empr_id_cmt,pat_rec_of_subs_id,ecd_table_def_copay,coinsurance_ovr,subscr_house_num,medc_covered_left,medc_coins_left,medc_reserve_left,ccs_pat_id,ccs_dx,ccs_cc_name,ccs_coor_phone,ccs_county_phone,cvg_county_c,cvg_country_c,cvg_house_num,cvg_district_c,subscr_eep_cnty_c,subscr_eep_house_n,subscr_eep_dist_c,subscr_district_c,eff_hosp_cvg_dt,eff_prov_cvg_dt,medicare_cvg_type_c,medicare_subscr_id,rqg_rel_to_sub_c,q4co_buckets_exc_yn,med_sec_type_c,chdp_county_c,chdp_aid_code,subsc_rel_to_guar_c,subscr_empr_cntry_c,cvg_card_issue_dt,cvg_deductible_yn,first_spec_aid_code,sec_spec_aid_code,thrd_spec_aid_code,evc_num,county_code_c,cvg_verification_id,ext_routing_num_c,conf_nam_of_assc_pt,own_bus_seg_eaf_id
11,1,,,3002,300201,,MS99999F,,"PENN,GEORE",,,,,,,,12/25/2001,2,1553 UNIONPORT RD,APT. 6G,LODI,31,1,7644,201-306-1315,,,,,,,,,,12/14/2017,,,,,,,,,,,,,,,,,000-00-0000,,,,,,,3,,,,,,,,,,,,Z0000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
12,1,,,3002,500203,,167567451,,"MEN,SHARONE",,,,,,,,6/3/1993,1,1155 EAST 225TH STREET,APT 1D,LODI,31,,7644,201-897-9729,,,,,,,,,,5/14/2021,,,,,,,,,,,,,,,,,000-64-0000,,,,,,,1,,3,,,,,,,,,,Z0000002,,,,,,,,,,,,,,,,,,,,,,,ST76940D,,,,,,,1,,,,,,,,,,,
13,1,,,3002,501301,1495,IKS89076P04,,"MARTIN,JESS",,,,,,,,5/5/1969,1,828 WARING AVE,#2,SADDLE BROOK,31,1,7643,201-337-8590,,,,,,,,,,2/25/2021,,,,,,,,,,,,,,,,,000-60-0000,,,,,,,,1100191,3,,,,,,,,,,Z0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,,,3002,501001,,WX02009V,,"SANTIAGO, YO",,,,,,,,2/26/1974,1,3045 VILLA AVE.,APT #48,WASHINGTON TWSHP,31,1,7676,201-886-9155,,,,,,,,,,6/9/2021,,,,,,,,,,,,,,,,,000-00-0011,,,,,,,1,,3,,,,,,,,,,Z0000005,,,,,,,,,,,,,,,,,,,,,,,WX02009V,,,,,,,1,,,,,,,,,,,
15,1,,,3002,900901,1495,IKS89076P04,,"MARTIN,JESS M",,,,,,,,5/5/1969,1,828 WARING AVE,2,SADDLE BROOK,31,1,7643,,,,,,,,,,,10/31/2019,,,,,,,,,,,,,,,,,000-60-0000,,,,,,,3,,3,,,,,,,,,,Z0000003,,,,,,,,,,,,,,,,,,,,,,,ZZ34098X,,,,,,,1,,,,,,,,,,,
16,1,,,4010,401001,,1999667823,,"SNEEZE,DAISY",,,,,,,,7/4/1976,1,500 Union ave,apt 303,BRONX,33,1,10455,646-376-7527,,,,,,,,,,6/1/2021,,,,,,,,,,,,,,,,,000-00-0012,,,,,,,,,3,,,,,,,,,,Z0000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,
17,2,,,,,4,JSM77889C01,,"PENN,GEORE",,,,,,,,12/25/2001,2,1553 UNIONPORT RD APT 6G,,LODI,31,1,7644,201-306-1315,,,10/1/2016,,,,,,,4/22/2021,,,,,,,,,,,,,,,,,000-00-0000,,,,,,,,P1CHP1157,,,,,,,Y,,,,Z0000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,,,3002,197500,3,IKS89076P04,,"MARTIN,JESS",,,,,,,,5/5/1969,1,828 WARING AVE # 2,,SADDLE BROOK,31,1,7643,201-337-8590,,,12/7/2018,,,,,,,5/7/2021,,,,,,,,,,,,,,,,,000-60-0000,,,,,,,,P1CHP1193,3,,,,,,Y,,,,Z0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,,,,,8,WX02009V,,"SANTIAGO, YO C",,,,,,,,2/26/1974,1,3045 VILLA AVE APT 48,,WASHINGTON TWSHP,31,1,7676,201-886-9155,,,9/1/2019,,,,,,,6/9/2021,,,,,,,,,,,,,,,,,000-00-0011,,,,,,,,HFMMCA2,3,,,,,,Y,,,,Z0000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,,,,,7,WX02009V,,"SANTIAGO, YO C",,,,,,,,2/26/1974,1,3045 VILLA AVE APT 48,,WASHINGTON TWSHP,31,1,7676,201-886-9155,,,5/1/2018,,,,,,,7/29/2020,,,,,,,,,,,,,,,,,000-00-0011,,,,,,,,HFMMCD,3,,,,,,Y,,,,Z0000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2,,,,,6,1999667823,,"SNEEZE,DAISY",,,,,,,,7/4/1976,1,500 UNION AVE APT 303,,BRONX,33,1,10455,646-376-7527,,,9/1/2019,,,,,,,1/8/2020,,,,,,,,,,,,,,,,,,,,,,,,,HFMLIP1,3,,,,,,Y,,,,Z0000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,,,,,5,1999667823,,"SNEEZE,DAISY",,,,,,,,7/4/1976,1,500 UNION AVE APT 303,,BRONX,33,1,10455,646-376-7527,,,1/12/2019,,,,,,,1/8/2020,,,,,,,,,,,,,,,,,,,,,,,,,HFMMCR021,3,,,,,,Y,,,,Z0000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,,,,,9,167567451AFF,,"MEN,SHARONE",,,,,,,,6/3/1993,1,1155 E 225 St St 1D,,LODI,31,,7644,347-528-7518,,,10/1/2017,,,,,,,5/24/2021,,,,,,,,,,,,,,,,,000-64-0000,,,,,,,,MEBR5ADC,1,,,,,,Y,,,,Z0000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2,,,3002,197500,8,ZC99065P,,"MARTIN,JESS M",,,,,,,,5/5/1969,1,828 WARING AVE # 2,,SADDLE BROOK,31,1,7643,201-337-8590,,,12/1/2019,,,,,,,5/12/2021,,,,,,,,,,,,,,,,,000-60-0000,,,,,,,,HFMMCA2,3,,,,,,Y,,,,Z0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,,,3002,501001,,ZC99065P,,"MARTIN,JESS M.",,,,,,,,5/5/1969,1,828 WARING AVE,#2,SADDLE BROOK,31,1,7643,201-337-8590,,,,,,,,,,5/12/2021,,,,,,,,,,,,,,,,,000-60-0000,,,,,,,,,3,,,,,,,,,,Z0000003,,,,,,,,,,,,,,,,,,,,,,,ZZ34098X,,,,,,15,,,,,,,,,,,,
26,2,,,,,2,1999667823,,"SNEEZE,DAISY",,,,,,,,7/4/1976,1,500 UNION AVE APT 303,,BRONX,33,1,10455,646-376-7527,,,1/1/2020,,,,,,,5/4/2021,,,,,,,,,,,,,,,,,,,,,,,,,HFMIBP1,3,,,,,,Y,,,,Z0000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,,,108,501301,,JSM77889C01,,"PENN,GEORE",,,,,,,,12/25/2001,2,1553 UNIONPORT RD,APT. 6G,LODI,31,1,7644,201-306-1315,,,,,,,,,,12/2/2020,,,,,,,,,,,,,,,,,,,,,,,,,1100191,,,,,,,,,,,Z0000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,,,107,900901,,JSM77889C01,,"PENN,GEORE",,,,,,,,12/25/2001,2,1553 UNIONPORT RD,APT. 6G,LODI,31,1,7644,201-306-1315,,,,,,,,,,12/8/2020,,,,,,,,,,,,,,,,,000-00-0000,,,,,,,3,,,,,,,,,,,,Z0000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
29,2,,,,,1,878906780,,"MCREA,REM",,,,,,,,1/26/1998,1,1095 UNIVERSITY AVE APT 7G,,TEANECK,31,1,7605,201-764-1530,,,1/1/2021,,217,,,,,5/26/2021,,,,,,,,,,,,,,,,,000-00-0099,,,,,,,,HFMQHBP,3,,,,,,Y,,,,Z0000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,,,107,901001,4003,987867564,,"MARTIN,JESS",,,,,,,,5/5/1969,1,828 WARING AVENUE #2,,SADDLE BROOK,31,1,7643,,,,,,,,,,,5/6/2021,,,,,,,,,,,,,,,,,000-60-0000,,,,,,,,1004000009,3,,,,,,,,,,Z0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,,,7001,700103,,123456789,,"MEN,SHARONE",,,,,,,,6/3/1993,1,1155 EAST 225TH STREET,APT 1D,LODI,31,,7644,201-897-9729,,,,,,,,,,5/24/2021,,,,,,,,,,,,,,,,,000-64-0000,,,,,,,3,,3,,,,,,,,,,Z0000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,,,,,,,,,
32,1,,,1001,100102,,876754567,,"MEN,SHARONE",,,,,,,,,,,,,,,,,,,,,,,,,,5/24/2021,,,,,,,,,,,po box 900,,LINCROFT,31,7738,516-941-1343,,,,,,,,,,4,,,,,,,,,,Z0000002,,,,,,,,,,,,1162,1,,,,,,,,,,,,,,,,15,1,,,,,,,,,,,
